objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1573,336010,Dari  Toll Plaza,PF,National,Gir Somnath,Gujarat,Jetpur Somnath Tollways,20.961278,70.334386
1574,336015,Gadoi  Toll Plaza,PF,National,Junagadh,Gujarat,Jetpur Somnath Tollways,21.425234,70.295437
1575,330100,Akhepura,PF,National,Sikar,Rajasthan,NHAI,27.508121,75.344381
1576,330098,Lathi,PF,National,Jaisalmer,Rajasthan,GR Infra / NHAI,27.0298232,71.4462213
1577,330099,Ramdevara,PF,National,Jaisalmer,Rajasthan,GR Infra / NHAI,27.025063,71.946276
1578,336018,Mokha Toll Plaza,PF,National,Kutch,Gujarat,Reliance,22.934663,69.801655
1579,345052,Mud Kheda,PF,National,Gwalior,Madhya Pradesh,Essel Infra,25.6814588,77.7295852
1580,330095,Bassi,PF,National,Chittaurgarh,Rajasthan,Chittorgarh Kota Toll Ways,25.033192,74.816392
1581,320072,Pidhi Toll Plaza,PF,National,Jaisinghpur,Uttar Pradesh,NHAI,26.3486681,82.2470807
1582,330096,Aroli,PF,National,Bhilwara,Rajasthan,Chittorgarh Kota Toll Ways,25.091152,75.198814
1583,330097,Dhaneshwar,PF,National,Bundi,Rajasthan,Chittorgarh Kota Toll Ways,25.07255,75.598475
1584,330105,Titoli,PF,National,Dausa,Rajasthan,M/s PNC Rajasthan Highways,26.7704556,76.3391978
1585,330106,Rabawata,PF,National,Dausa,Rajasthan,M/s PNC Rajasthan Highways,26.5004499,75.9983801
1586,320077,Kurana Toll Plaza,PF,National,Hapur,Uttar Pradesh,NHAI,28.6278,77.7849
1587,345044,Jungawani,PF,National,Chhindwara,Madhya Pradesh,NHAI,22.377885,79.151005
1588,370020,Palsit Toll Plaza,PF,National,Bardhaman,West Bengal,NHAI,23.178722,88.026395
1589,370021,Dankuni Toll Plaza,PF,National,Hooghly,West Bengal,NHAI,22.698891,88.288862
1590,352039,Pottipadu,PF,National,Krishna,Andhra Pradesh,NHAI,16.572341,80.862502
1591,350029,Bhiknoor Toll Plaza,PF,National,Nizamabad,Telangana,NHAI,18.20539,78.398299
1592,350028,Pippalwada,PF,National,Adilabad,Telangana,NHAI,19.781093,78.565772
1593,360049,Paranur,PF,National,Kanchipuram,Tamil Nadu,NHAI,12.723887,79.981917
1594,360050,Lembalakudi,PF,National,Pudukkottai,Tamil Nadu,NHAI,10.299776,78.770713
1595,360051,Lechchumanapatti,PF,National,Pudukkottai,Tamil Nadu,NHAI,10.624233,78.747631
1596,380018,Runni Shaidpur Toll Plaza,PF,National,Sitamarhi,Bihar,NHAI,26.373555,85.493897
1597,320078,Sherpur Chamraha Toll Plaza,PF,National,Ghorkhpur,Uttar Pradesh,NHAI,26.821964,83.293971
1598,320074,Raksha Toll Plaza,PF,National,Jhansi,Uttar Pradesh,Jhansi Baran Pathways,25.461841,78.451052
